Times Bins DMs SNRs
462469.0 5.0 40.0 10.351244095322969
462470.0 5.0 40.0 11.751491507296743
462471.0 5.0 40.0 11.758115525348753
462472.0 5.0 40.0 8.960941408821892
336897.0 6.0 40.0 8.208321311274629
337837.0 6.0 40.0 8.297730486018095
337838.0 6.0 40.0 8.7751844691813
337839.0 6.0 40.0 8.627115781371012
338137.0 6.0 40.0 8.086770608082853
338719.0 6.0 40.0 8.217818928209937
338720.0 6.0 40.0 9.725723315300474
338721.0 6.0 40.0 8.659012650800042
338722.0 6.0 40.0 8.45352885216921
338790.0 6.0 40.0 8.919023441155417
338791.0 6.0 40.0 10.194245483123817
338792.0 6.0 40.0 10.148919664131098
338793.0 6.0 40.0 8.952269508695982
338794.0 6.0 40.0 8.00341094275008
462468.0 6.0 40.0 9.692914727120684
462469.0 6.0 40.0 10.868417664224083
462470.0 6.0 40.0 11.657123973871476
462471.0 6.0 40.0 10.756616886999097
462472.0 6.0 40.0 8.689676220423724
336895.0 7.0 40.0 8.301330543438542
336896.0 7.0 40.0 8.56151758037918
336897.0 7.0 40.0 8.466398213319787
337836.0 7.0 40.0 8.476707065870329
337837.0 7.0 40.0 8.862790088357858
337838.0 7.0 40.0 9.097797946949408
337839.0 7.0 40.0 8.48510627471473
338136.0 7.0 40.0 8.203148777999598
338718.0 7.0 40.0 8.039282839370989
338719.0 7.0 40.0 8.954128950192958
338720.0 7.0 40.0 9.583610862529977
338721.0 7.0 40.0 9.494086902188526
338722.0 7.0 40.0 8.74990389824248
338789.0 7.0 40.0 8.797602839014093
338790.0 7.0 40.0 9.603339110411065
338791.0 7.0 40.0 10.565745922178426
338792.0 7.0 40.0 10.081747923910434
338793.0 7.0 40.0 8.92350706449362
462467.0 7.0 40.0 9.439993169467744
462468.0 7.0 40.0 10.287696817115766
462469.0 7.0 40.0 10.922776160014523
462470.0 7.0 40.0 10.813670436249382
462471.0 7.0 40.0 10.430391266881706
462472.0 7.0 40.0 8.309747712535927
336894.0 8.0 40.0 8.565688827403767
336895.0 8.0 40.0 8.926836682627734
336896.0 8.0 40.0 8.819541949725574
336897.0 8.0 40.0 8.060614789758345
337835.0 8.0 40.0 8.502316285502161
337836.0 8.0 40.0 9.03356900786764
337837.0 8.0 40.0 9.201059050072105
337838.0 8.0 40.0 8.975999437425148
337839.0 8.0 40.0 8.51541003187444
337903.0 8.0 40.0 8.21459546111445
338134.0 8.0 40.0 8.105188069119855
338135.0 8.0 40.0 9.034224447058564
338717.0 8.0 40.0 8.080300640937015
338718.0 8.0 40.0 8.779041231697915
338719.0 8.0 40.0 8.917744314863215
338720.0 8.0 40.0 10.346627263716254
338721.0 8.0 40.0 9.744719998063882
338722.0 8.0 40.0 8.705774116674917
338723.0 8.0 40.0 8.389119600262964
338788.0 8.0 40.0 8.575069811827502
338789.0 8.0 40.0 9.48840421517679
338790.0 8.0 40.0 10.037975938365058
338791.0 8.0 40.0 10.524739716792006
